id,tytul,cena,czynsz,kaucja,adres,powierzchnia,pokoje,ogrzewanie,piętro,stan_wykończenia,dostępne_od,dodatkowe_informacje,rok_budowy,winda,rodzaj_zabudowy,okna,bezpieczeństwo,wyposażenie,opis,dodano,aktualizacja,link,scraped_date
65477888,Nowy Apartament 41m2 Warszawa Wola ul. Ludwiki,4 600 zł,700 zł,brak informacji,"ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie",,2,brak informacji,4,brak informacji,brak informacji,,,tak,,,teren zamknięty monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka telewizor pralka klimatyzacja,"Oferuję dwupokojowe mieszkanie na Bliskiej Woli, czyli jednej z najlepszych dzielnic w Warszawie (ul. Ludwiki 4B, osiedle Apartamenty Ludwiki). Mieszkanie znajduje się na 4 piętrze w bloku z windą na osiedlu zamkniętym oraz strzeżonym. Lokal ma powierzchnię 41 metrów kwadratowych.Mieszkanie jest świeżo wykończone w bardzo dobrym standardzie. Lokal składa się z pokoju z aneksem kuchennym, sypialni, łazienki i holu. Lokal jest w pełni umeblowany i wyposażony w sprzęt AGD/RTV, tj. płyta indukcyjna, zmywarka, piekarnik, lodówka, czajnik, telewizor, pralka, odkurzacz, żelazko, zastawa kuchenna. Dodatkowym atutem mieszkania jest klimatyzacja. Do lokalu przynależy balkon z bardzo urokliwym widokiem na centrum Warszawy oraz parking podziemny, wliczony w cenę. Mieszkanie zlokalizowane jest w bliskim sąsiedztwie Ronda Daszyńskiego. Osiedle dzieli zaledwie 300 metrów od Metra Płocka, a w pobliżu znajdują się również inne połączenia komunikacyjne takie jak autobusy bądź tramwaje. W bardzo bliskiej odległości znajdziemy również takie miejsca jak Fabryka Norblina, Muzeum Warszawskie czy Park Słowińskiego. Do ceny najmu należy doliczyć opłaty za wodę i prąd (według zużycia) ORAZ czynsz administracyjny (700 zł). Kaucja zwrotna wymagana. Umowa najmu okazjonalnego.",23.05.2024,21.08.2024,https://www.otodom.pl/pl/oferta/nowy-apartament-41m2-warszawa-wola-ul-ludwiki-ID4qJMY,2024-08-21
65591486,Nowoczesny Apartament Do Wynajecia Na Mokotowie,5 500 zł,,brak informacji,"ul. Pory, Stegny, Mokotów, Warszawa, mazowieckie",,1,miejskie,6/7,do zamieszkania,brak informacji,,,tak,apartamentowiec,,teren zamknięty monitoring / ochrona,zmywarka lodówka meble piekarnik telewizor pralka,"EUROVILLA prezentuje na wynajem nowoczesne, umeblowane mieszkanie o pow.67 m2 położone na przed ostatnim piętrze budynku na Służewcu.LOKALIZACJAŚwietna lokalizacja - blisko centrum , w pobliżu: sklepy, restauracje, Spa, fitness, siłownie, przychodnia , tereny rekreacyjne, Tor Łyżwiarski Stegny.STANDARD WYKOŃCZENIA Kompleks ogrodzony, monitorowany, całodobowa ochrona, wysoki standard części wspólnych z dużą ilością zieleni.Duża otwarta przestrzeń nadaje wnętrzu niepowtarzalny charakter. Mieszkanie wykończone w wysokim standardzie, wyposażone we wszystkie niezbędne sprzęty oraz w pełni umeblowane. Dużo wbudowanych , pojemnych szaf wnękowych.ROZKŁAD POMIESZCZEŃApartament składa się : * salonu z wyjściem na taras* kuchni w aneksie* przestrzeni sypialnej  * garderoby * łazienki. INFORMACJE DODATKOWEDo lokalu przynależy miejsce parkingowe wliczone w cenę najmu. Budynek z winda, chroniony i monitorowany 24h.  Niniejsze ogłoszenie jest wyłącznie informacją i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu Cywilnego. _Autorskie prawa majątkowe do fotografii nieruchomości przysługują wyłącznie firmie : Eurovilla Wilanów Sp .z o.o., Eurovilla Miasteczko Wilanów Sp .z o.o.,  Eurovilla Mokotów Sp .z o.o.,  Eurovilla Śródmieście Sp .z o.o. Kopiowanie, przetwarzanie, rozpowszechnianie fotografii bez zgody Spółek Eurovilla jest zabronione i będzie traktowane jako naruszenie ustawy z dnia 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych.",24.06.2024,21.08.2024,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-do-wynajecia-na-mokotowie-ID4rdlc,2024-08-21
65804062,Wynajem mieszkania - 2 pokoje z loggią i ogródkiem,4 700 zł,,9 000 zł,"Pyry, Ursynów, Warszawa, mazowieckie",,2,miejskie,parter,do zamieszkania,2024-09-01,,2006,nie,blok,plastikowe,teren zamknięty monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka pralka,"Dwupokojowe mieszkanie na świetnie skomunikowanym warszawskim Ursynowie o powierzchni 52 m2 z loggią i ogródkiem. W salonie rozkładana kanapa z funkcją spania, może służyć jako dodatkowy pokój sypialny. Meble i sprzęty takie jak pralka, lodówka, zmywarka, piekarnik na wyposażeniu mieszkania oprócz telewizora. 

Mieszkanie było malowane i odświeżone 8 miesięcy temu i jest utrzymane w przyjaznym, nowoczesnym stylu z wysokiej jakości materiałów. Osiedle strzeżone, spokojna okolica. Bliskość dużego sklepu Lidl, Auchan, aptek oraz Metra, stacja Shell w pobliżu.

Mieszkanie dostępne od 1 września 2024. 

Wymagana dwumiesięczna kaucja 9 000 zł i zawarcie polisy OC najemcy.

Miesięczna opłata za wynajem: 4700 zł 
Czynsz administracyjny w cenie wynajmu 
Ogrzewanie w czynszu administracyjnym 
Woda w czynszu administracyjnym 
Prąd dodatkowo płatny 
Internet/telewizja kablowa indywidualna umowa 
Miejsce postojowe - parking publiczny dostępny przed blokiem bez opłat dodatkowych 
Rok budowy - 2008 

Wynajem bezpośredni, bez prowizji dla agencji.",21.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/wynajem-mieszkania-2-pokoje-z-loggia-i-ogrodkiem-ID4s6DQ,2024-08-21
65804077,Śródmieście/Wola 26m2 plus piwnica,3 000 zł,440 zł,3 000 zł,"ul. Miła 37, Nowolipki, Wola, Warszawa, mazowieckie",,1,miejskie,8/9,do zamieszkania,brak informacji,,,tak,blok,plastikowe,,lodówka meble kuchenka telewizor pralka,"Do wynajęcia jednopokojowe mieszkanie niedaleko Arkadii obok CH Klif. Okna z ładnym widokiem na Warszawę.  Doskonały dojazd do każdej części Warszawy (blisko tramwaje, metro, autobusy). 
ROZKŁAD
Mieszkanie o powierzchni 26 m2 składa się z salonu z aneksem kuchennym oraz łazienki z wanną.
STANDARD
Mieszkanie znajduje się na 8 piętrze, jest w pełni umeblowane i wyposażone w sprzęty AGD (lodówka, pralka, kuchnia gazowa). W salonie znajduje się duża szafa, rozkładany, wygodny narożnik, stół plus 2 krzesła oraz telewizor. Można podłączyć telewizję kablową i internet. Do dyspozycji porządnie zabezpieczona, pusta piwnica 2m2.
LOKALIZACJA
Budynek znajduje się przy ulicy Miłej 37 na pograniczu Śródmieścia i Woli, blisko Arkadia obok CH Klif, kilka przystanków do ronda ONZ. Ładna i spokojna okolica. W odległości spaceru dostęp do wielu lokali handlowo-usługowych, obiektów rekreacyjnych i placówek medycznych.
DODATKOWE INFORMACJE
umowa najmu okazjonalnego
wymagana kaucja
dodatkowe opłaty (czynsz 440, prąd i gaz) 
Proszę o kontakt: 601/273/175 ",21.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/srodmiescie-wola-26m2-plus-piwnica-ID4s6E5,2024-08-21
65804074,"2 pokoje/oddzielna kuchnia, ul. Walewska",3 300 zł,640 zł,brak informacji,"ul. Walewska, Grochów, Praga-Południe, Warszawa, mazowieckie",,2,miejskie,10/10,do zamieszkania,brak informacji,,1980,tak,blok,plastikowe,monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka telewizor pralka,"Oferuję na wynajem 2-pokojowe mieszkanie znajdujące się na Grochowie przy ul. Walewskiej 2. Lokal o pow. 42 mkw. na 10-piętrze,10-piętrowego bloku z windą, wybudowanym w roku 1980.Nieruchomość składa się z:- nowoczesnej kuchni, w pełni wyposażonej w sprzęty AGD,- przestronnego, jasnego salonu z wyjściem na balkon,- ustawnej sypialni.- łazienki z wanną,- holu przejściowego z dużą szafą.Mieszkanie znajduje się 400m od Galerii Handlowej Rondo Wiatraczna.W najbliższej okolicy Auchan, Galeria Grochów oraz liczne obiekty gastronomiczne. Bardzo dobra komunikacja, przystanki autobusowe i tramwajowe (Rondo Wiatraczna) - 2 min pieszo.Koszty najmu: 4000 zł + 1000 zł czynszu + prąd + Internet.Zapraszam na prezentację!W swojej ofercie posiadamy również dodatkowe usługi takie jak: projektowanie i remonty wnętrz wraz z ich nadzorem, usługę zarządzania najmem oraz doradztwo kredytowe. Zapraszamy do kontaktu, chętnie udzielimy więcej informacji!",21.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/2-pokoje-oddzielna-kuchnia-ul-walewska-ID4s6E2,2024-08-21
65736982,"2 pokoje, ogród 90 m2, zwierzęta tak, wyposażone",4 011 zł,672 zł,5 000 zł,"ul. Komitetu Obrony Robotników, Okęcie, Włochy, Warszawa, mazowieckie",,2,miejskie,parter/4,do zamieszkania,brak informacji,,2023,nie,apartamentowiec,plastikowe,teren zamknięty,zmywarka lodówka meble piekarnik kuchenka pralka,"Okęcie |2-pokojowe |42 m2| Ogród 90 m2| Internet w cenie | Przyjazne zwierzętom| Bez prowizji

Jeżeli szukasz nowego mieszkania w zielonej okolicy, z dobrym dojazdem, przyjazne zwierzętom, w nowoczesnym budownictwie – zapraszamy do zapoznania się z poniższą ofertą!

Dostępne od 1 września 2024 r.!

Do zaoferowania mamy przestronne, jasne mieszkanie 2-pokojowe o powierzchni 42 m2 znajdujące się na parterze w nowoczesnej inwestycji z 2023 r.. W okolicy znajdują się nie tylko niezbędne punkty usługowe tj. Biedronka, Rossman, placówki edukacyjne, restauracje ale także tereny zielone, które zachęcają do spacerów czy też sportowych aktywności.

KOMUNIKACJA
Mieszkanie jest bardzo dobrze skomunikowane; jedynie 100 m od przystanku autobusowego, z którego z łatwością dojedziesz do PKP Służewiec, Westfield Mokotów, czy też Uniwersytetu Medycznego (linie autobusowe: 175, 188, 328,317, 154. N32). Do centrum dotrzesz zaledwie w 25 min.
3 min piechotą punkty handlowo-usługowe ( Biedronka, apteka, poczta)
100 m od przystanku Komitetu Obrony Robotników 01 (linie autobusowe: 175, 188, 328, 317, 154, N32 )
Ok. 25 min do centrum – bezpośrednie połączenie
1,7 km od PKP Służewiec
1,5 km od centrum biznesowego „Mordor”
2,1 km od Westfield Mokotów
3,6 km od Uniwersytetu Medycznego
2 km od Lotniska Chopina „odloty”
6,2 km – bezpośredni dojazd ok 30 min centrum biznesowego przy Rondzie Daszyńskiego

UKŁAD POMIESZCZEŃ
Mieszkanie składa się z ustawnego salonu, w którym znajduje się rozkładana, komfortowa sofa, nowoczesna szafka RTV AGD oraz stylowy stół z krzesłami. Praktyczna kuchnia w pełni wyposażona; w lodówkę z zamrażalką, zmywarkę, piekarnik, płytę indukcyjną oraz okap. Sypialnia umeblowana w łóżko z materacem o wymiarach 160 cm x 200 cm oraz szafki nocne. Łazienka składa się z dużej kabiny prysznicowej oraz pralki. Mieszkanie zawiera obszerne szafy wnękowe.


OPŁATY: Czynsz najmu 4011 PLN + opłata eksploatacyjna i ubezpieczenie: 672 PLN.
Dodatkowo media rozliczane wg zużycia na podstawie liczników co miesiąc ( woda, ścieki, ogrzewanie, prąd) oraz śmieci.
RAZEM: 4683 PLN + media
Internet w cenie najmu.

*Wymagana kaucja w wysokości 1miesięcznego czynszu najmu
*Oferta przy umowie na 12 miesięcy
*Wynajem bezpośredni od właściciela skandynawskiej firmy Heimstaden – bez prowizji

Mieszkanie dostępne od już!

Zalety mieszkania w Heimstaden:
• Bezpieczna i stabilna umowa z możliwością przedłużenia
• Przejrzyste zasady
• Nowe, w pełni wyposażone w meble mieszkania
• Możliwość zameldowania na podstawie umowy najmu
• Mile widziane zwierzęta

Umów się już dzisiaj na prezentacje!

Szczegóły dotyczące świadectwa charakterystyki energetycznej:
• wskaźnik rocznego zapotrzebowania na energię użytkową EU=9,17 kWh/(m2-rok)
• wskaźnik rocznego zapotrzebowania na energię końcową EK=56,77 kWh/(m2-rok)
• wskaźnik rocznego zapotrzebowania na nieodnawialną energię pierwotną EP=54,14 kWh/(m2-rok)
• udział odnawialnych źródeł energii w rocznym zapotrzebowaniu na energię końcową 0,020 t CO2/m2-rok)
• jednostkowa wielkość emisji CO2. Uoze=0,00%

Okęcie | 2-rooms |42 m2 | Garden 90 m2 | Internet included| Pets are welcome| Commisson free offer

If you are looking for a new apartment in a green area, with good access, pet-friendly, in a modern building - we invite you to take a look at the following offer!

We offer a spacious, bright apartment 2-rooms of 42 m2 area located on the ground in a modern development of 2023. In the neighborhood there are not only the necessary service points, i.e. Biedronka, Rossman, educational institutions, restaurants, but also green areas that encourage walking or sports activities.

TRANSPORTATION

The apartment is located in a well-connected area; only 100 m from the bus stop, from which you can easily get to PKP Sluzewiec, Westfield Mokotów, or the Medical University (bus lines: 175, 188, 328,317, 154. N32). You will reach the center in just 20 minutes.

The apartment is very good communication, only 100 m from bus stop, where you go easily to PKP Służewiec, Westfield Mokotów or Medical University ( line bus: 175, 188, 328,317, 154. N32) Only 20 minutes you get to the centre.

25 min on foot shopping and service points ( Biedronka, pharmacy, post office)
100 m from the bus stop Komitetu Obrony Robotników 01 (bus lines: 175, 188, 328, 317, 154, N32 )
About 30 minutes to the center - direct connection
1.7 km from Railway Station Sluzewiec
1.5 km from business center ""Mordor"".
2,1 km from Westfield Mokotów
3,6 km from the Medical University
2 km from Chopin Airport ""departures""
6,2 km - direct access approx. 30 min business center at the Rondo Daszyńskiego

APARTMENT
The apartment consists of a set living room, in which there is a comfortable sofa bed, a modern TV cabinet and a stylish table with chairs at which you will drink your morning coffee. A kitchen fully equipped; with a fridge with freezer, dishwasher, oven, induction hob and hood. The bedroom is furnished with a bed with a 160 cm x 200 cm mattress and bedside tables. The bathroom consists of a large shower cubicle and a washing machine. The apartment contains spacious built-in closets.



CHARGES: Rent 4011 PLN/ month + Service charge 672 PLN
In addition, utilities billed according to consumption based on monthly meters ( water, sewage, heating, electricity) and rubbish.
TOTAL : 4683 PLN

Internet included in the rental price.
* Deposit of 1 month's rent required
* Offer with a contract for 12 months
* Rent directly from the owner of the Scandinavian company Heimstaden - without commission

Advantages of living in Heimstaden:

-secure and stable lease agreement with the possibility of renewal
- transparent rules
- new, fully furnished apartments
- new and fully equimpent apartments
-Possibility to check in on the basis of a lease agreement
- pets are welcome

Please join us for a presentation !
Details of the energy performance certificate:
• the ratios of annual energy demand for use: 39,17 kWh/(m2-per annum)
• the rations of annual final energy: 56,77 kWh (m2-per annum)
• the ratios of annual non-renewable primary energy 54,14 kWh (m2-per annum)
• the share of renewable energy sources in the annual final energy demand 0,020 t CO2/(m2-per annum)
• the specific volume of CO2 emissions 0,00%",1.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/2-pokoje-ogrod-90-m2-zwierzeta-tak-wyposazone-ID4rPbU,2024-08-21
65642859,"Mieszkanie Warszawa, ul. Szeligowska 53D",3 000 zł,530 zł,5 000 zł,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",33.8,1,miejskie,parter/4,do zamieszkania,brak informacji,,2023,nie,blok,plastikowe,teren zamknięty monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka telewizor pralka klimatyzacja,"Mieszkanie;
Do wynajęcia nowe mieszkanie o powierzchni 33,80 m2 na osiedlu Modern City w Warszawie, przy ulicy Szeligowskiej 53d. Mieszkanie znajdujące się na parterze (blok 4 piętrowy z windą).
Mieszkanie usytuowane w kierunku południowo-zachodnim.
Dodatkową przed blokiem znajduje się miejsce parkingowe - dodatkowo płatne 200 zł.
Mieszkanie świeżo wykończone, nowe i nigdy dotąd nie zamieszkane, wyposażone w klimatyzację, lodówkę, zmywarkę, piekarnik, płytę indukcyjną, mikrofalówkę, pralkę, okap, TV, odkurzacz w pełni umeblowane.

Wszystkie urządzenia nowe.

Kuchnia w zabudowie trwałej.  

W salonie znajduję się kanapa, stolik, szafka RTV wraz z nowym telewizorem, stół z krzesłami.
W sypialni znajduje się łóżko z nowym materacem, szafki nocne oraz duża szafa w zabudowie z lustrami.

Okolica;
Dobrze skomunikowana, stacja metra w budowie (blok zlokalizowany jest blisko stacji ok. 400m) . W bliskiej okolicy znajdują się sklep spożywczy, punkty usługowe, szkoła (około 500 m).
 
Opłaty miesięczne;
Czynsz najmu kwota 3.000,00 zł, dodatkowo czynsz w wysokości około 530,00 + prąd według zużycia, miejsce parkingowe 200,00 zł
 
Opłata dodatkowa ; 
Kaucja w wysokości 5.000,00
Umowa wyłącznie w ramach najmu okazjonalnego.
Mieszkanie do wynajęcia od zaraz.
Zapraszamy najemców bez zwierząt.
",7.07.2024,21.08.2024,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-ul-szeligowska-53d-ID4rqHN,2024-08-21
65785976,⭐️Metro Wilanowska⭐️Parking⭐️Basen⭐️Zwierzolubne⭐️,6 500 zł,1 700 zł,7 000 zł,"ul. Bukowińska, Ksawerów, Mokotów, Warszawa, mazowieckie",106,4,miejskie,5/15,do zamieszkania,2024-08-13,,2007,tak,blok,plastikowe,monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka telewizor pralka,"Zapraszamy do zapoznania się z wyjątkową ofertą nowoczesnego i komfortowego mieszkania o powierzchni 106 m2, położonego w bardzo atrakcyjnej lokalizacji na Mokotowie, na ul. Bukowińskiej 8.Najważniejsze atuty:• Doskonała lokalizacja: Mieszkanie usytuowane jest w świetnym punkcie komunikacyjnym, w pobliżu liczne przystanki autobusowe i tramwajowe, 5 minut na piechotę od stacji metra Wilanowska• Funkcjonalny układ pomieszczeń: Mieszkanie składa się z przestronnego salonu z aneksem kuchennym, który stanowi serce domu, trzech przytulnych sypialni, dwóch łazienek, przedpokoju oraz balkonu.• Ekspozycja: Mieszkanie wyróżnia się trzystronną ekspozycją, zapewniającą dostęp do naturalnego światła przez cały dzień. Okna wychodzą na północ, południe i zachód, co gwarantuje zarówno jasne, poranne słońce, jak i przyjemne popołudniowe ciepło. Dzięki temu wnętrza są doskonale doświetlone i przytulne, a różnorodna ekspozycja pozwala na lepszą cyrkulację powietrza, co wpływa na komfort mieszkania.• Dodatkowe udogodnienia: Do mieszkania przynależy również miejsce parkingowe w garażu podziemnym W CENIE! Ponadto do dyspozycji najemców jest bezpłatny basen w budynku naprzeciwko!Mieszkanie składa się z:- Salonu z aneksem kuchennym,- Sypialnia główna,- Sypialnia dodatkowa,- Sypialnia dodatkowa,- Łazienka z wanną,- Łazienka z prysznicem,- Przedpokój,- Balkon.Właściciele wyrażają zgodę na zwierzęta w mieszkaniu.Lokalizacja:Mieszkanie położone jest na Mokotowie na ul. Bukowińskiej 8. W najbliższej okolicy znajdują się liczne sklepy, apteki, restauracje,a także szkoła podstawowa, uczelnia Łazarskiego, wydział zarządzania UW, oraz liczne parki, co zapewnia wygodę i komfort codziennego życia.Opłaty - w sumie 8500 złotych za WSZYSTKO:- czynsz najmu 6500 zł- czynsz administracyjny 1700 zł- zaliczka na prąd 300 złKaucja: 7000 złMieszkanie jest urządzone i gotowe do zamieszkania od już!Zapraszamy do kontaktu w celu uzyskania dodatkowych informacji oraz umówienia się na prezentację.W swojej ofercie posiadamy również dodatkowe usługi takie jak: projektowanie i remonty wnętrz wraz z ich nadzorem, usługę zarządzania najmem oraz doradztwo kredytowe. Zapraszamy do kontaktu, chętnie udzielimy więcej informacji!",14.08.2024,21.08.2024,https://www.otodom.pl/pl/oferta/metro-wilanowskaparkingbasenzwierzolubne-ID4s1V8,2024-08-21
65430127,Bezpośrednio nowoczesne mieszkanie 2-pok. + garaż,3 500 zł,689 zł,5 000 zł,"Gocławek, Praga-Południe, Warszawa, mazowieckie",40.26,2,miejskie,1/4,do zamieszkania,brak informacji,,2020,tak,blok,plastikowe,teren zamknięty,zmywarka lodówka meble piekarnik kuchenka telewizor pralka,"Dzień dobry,

wynajmę bezpośrednio prywatne mieszkanie 2 pokojowe na Pradze Południe położone przy ulicy Kawczej. Mieszkanie ma powierzchnię ok. 41m². Rok oddania: 2020. Składa się z sypialni, salonu z aneksem kuchennym oraz łazienki z prysznicem. Mieszkanie jest zlokalizowane w 4 piętrowym, kameralnym bloku z zamykanym patio. Do mieszkania przynależy miejsce postojowe w garażu podziemnym. W pełni wyposażone gotowe do zamieszkania.

Bardzo dobry i szybki dojazd do centrum. Do wyboru autobusy komunikacji miejskiej z przystanku Tarnowiecka - 3min (158, 141, 182) lub tramwaje i autobusy z Placu Szembeka. 

Bardzo zielona i spokojna okolica. Parking dostępny pod budynkiem. W pobliżu znajdują się popularne sklepy spożywcze Biedronka, Żabka, Lidl i piekarnia Grzybki. W okolicy Placu Szembeka znajduje się bazar, a w Galerii Handlowej zlokalizowane są kawiarnie, klub fitness, restauracje, przychodnie, apteki, salony fryzjerskie różne punkty usługowe. 
Umowa na rok.
Mieszkanie + Miejsce garażowe - 3500zł 
Czynsz - 689zł
Prąd - 103zł
Internet+TV - 80zł

W celu bardziej szczegółowych informacji i oględzin mieszkania zapraszam do kontaktu telefonicznego.
Proszę dzwonić po godzinie 17:00.

Agencjom nieruchomości dziękuję.",12.05.2024,21.08.2024,https://www.otodom.pl/pl/oferta/bezposrednio-nowoczesne-mieszkanie-2-pok-garaz-ID4qxmD,2024-08-21
65602009,Komfortowe mieszkanie z balkonem oraz garażem,3 600 zł,820 zł,brak informacji,"ul. Podskarbińska, Grochów, Praga-Południe, Warszawa, mazowieckie",,2,brak informacji,3,do zamieszkania,brak informacji,,2021,tak,apartamentowiec,,teren zamknięty monitoring / ochrona,zmywarka lodówka meble piekarnik kuchenka pralka,"Do wynajęcie 2 pokojowe mieszkanie z balkonem, znajdujące się na 3 piętrze osiedla ‚Mały Grochów’ oddanego w 2021 roku.
Zamykany salon z rozkładaną sofą, stolikiem kawowym, witryną i miejscem na sprzęty RTV/AGD. Aneks kuchenny w zabudowie, połączony z salonem, wyposażony w zmywarkę, piekarnik, okap, lodówkę oraz stół z czterema krzesłami.
Sypialnia z łóżkiem (160cm szerokości), szafką nocną, komodą oraz dużymi szafami. Łazienka z wanną (170 cm), z przeszkleniem, umywalką z szafką, toaletą, pralką, suszarką oraz szafką wiszącą. Przedpokój z dużą szafą z lustrem w zabudowie i wieszakiem.

Mieszkanie znajduje się na strzeżonym osiedlu z widokiem na wnętrze osiedla.
Okna wychodzą na stronę południową.

Lokalizacja: - 150m (3min piechotą) do przystanku autobusowego przy ulicy Mińskiej, - 800m (10min piechotą) do przystanku tramwajowego (ul. Grochowska), - 2,2km do stacji Metro Stadion Narodowy - 1,5km do stacji PKP Warszawa Wschodnia, - 630m do dyskontu spożywczego Lidl, w pobliżu także Biedronka oraz Auchan - 3,1km do Centrum Handlowego Promenada - w odległości do 300m kawiarnie, restauracje, przychodnie, kosmetyczka, fryzjer, siłownie plenerowe, crossfit i stadion lekkoatletyczny, - 650m do najbliższego parku i ok 1km do Parku Skaryszewskiego - 850m do Uniwersytetu SWPS.

Mieszkanie dostępne od 3 lipca.

W cenie najmu miejsce postojowe w garażu podziemnym!

We speak English, so don't hesitate to contact with us if you have any questions.

Zapraszam serdecznie do kontaktu oraz na prezentację mieszkania.

Julia Urbańska
+48 793731004
JU Nieruchomości 

Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego.",26.06.2024,21.08.2024,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-z-balkonem-oraz-garazem-ID4rg4W,2024-08-21
